"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10003-10041.pdf"" target=""_blank"">View PDF</a>","104-10003-10041","CIA",1,"Secret",1964-03-26,"PAPER - TEXTUAL DOCUMENT","CIA-CI STAFF/O'NEIL, BIRCH","CIA-WE/4/INT","4/26/2018","CLIPPING OF ARTICLE 'THE KENNEDY MURDER AND THE SECRET SERVICES OF THE USA'.","OSW9 : V37B : 1993.06.08.16:31:19:150000 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10143.pdf"" target=""_blank"">View PDF</a>","104-10004-10143","CIA",1,"Secret",1964-06-01,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","DISCUSSION BETWEEN MEMBER SR DIVISION CONCERNING OSWALD'S STAY IN HELSINKI.","OSW10 : V43 : 1993.06.12.10:33:55:150000 : CORRECTION OF 1 PAGE FROM 2"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10156.pdf"" target=""_blank"">View PDF</a>","104-10004-10156","CIA",1,"Not Marked",1964-06-01,"PAPER - TEXTUAL DOCUMENT","MEMO FOR THE RECORD","WIGREN, LEE H., C/SR/CI/R, CIA","4/26/2018","MEMO FOR THE RECORD RE OSWALD'S STAY IN FINLAND IN OCTOBER 1959","OSW10 : V46B : 20031125-1016919 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10004-10213.pdf"" target=""_blank"">View PDF</a>","104-10004-10213","CIA",37,"Not Marked",1964-07-09,"PAPER - TEXTUAL DOCUMENT","MFR","C/SR/CI/RESEARCH","4/26/2018","SR/CI DISCUSSION WITH SLAWSON 9 JULY ON QUESTIONS OF SOVIET POLICY TOWARDS RUSSIAN WIVES OF AMERICANS AND VISA PROCEDURES.","OSW10 : V46 : 20031125-1016925 : THIS IS A 37 PAGE DOCUMENT VICES 38 PAGES"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10005-10321.pdf"" target=""_blank"">View PDF</a>","104-10005-10321","CIA",3,"Secret",1964-09-30,"PAPER - TEXTUAL DOCUMENT","","C/WE","4/26/2018","TRACE REQUEST FOR JOACHIM JOESTEN, AUTHOR OF 'OSWALD: ASSASSIN OR FALL GUY?'","OSW11 : V51 : 1993.06.18.17:54:54:870000 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10006-10247.pdf"" target=""_blank"">View PDF</a>","104-10006-10247","CIA",3,"Not Marked",1962-04-01,"UNKNOWN DOCUMENT TYPE","","","4/26/2018","NAME CHECK REQUEST - ROMAN FEDOROVICH DEDKOV","OSW12 : V53B : 20031201-1018187 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10007-10345.pdf"" target=""_blank"">View PDF</a>","104-10007-10345","CIA",6,"Secret",1965-02-02,"PAPER - TEXTUAL DOCUMENT","CHIEFS OF ALL STATIONS","","4/26/2018","WARREN COMMISSION TESTIMONY - SELECTED EXCERPTS","OSW13 : V53 : 1993.06.19.13:49:49:870000 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10021.pdf"" target=""_blank"">View PDF</a>","104-10009-10021","CIA",2,"Secret",1967-01-04,"PAPER - TEXTUAL DOCUMENT","FIELD DISTRIBUTION","CIA","4/26/2018","FIELD DISTRIBUTION OF BOOK DISPATCH","OSW14 : V54 : 1993.06.18.17:46:02:870000 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10009-10222.pdf"" target=""_blank"">View PDF</a>","104-10009-10222","CIA",1,"Not Marked",1968-11-26,"PAPER - TEXTUAL DOCUMENT","","HELMS, RICHARD, DD/P, CIA","4/26/2018","WITHHELD","OSW14 : V54B : 20031201-1018273 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10012-10022.pdf"" target=""_blank"">View PDF</a>","104-10012-10022","CIA",2,"Secret",1982-05-21,"PAPER - TEXTUAL DOCUMENT","[[DELETION]]","BLEE, DAVID H., DDO/CI","4/26/2018","LETTER RE TRAVEL TO MEXICO OF VALERIY VLADIMIROVICH KOSTIKOV.","OSW16 : V57 : 1993.06.24.13:18:45:210800 :"
