"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10051.pdf"" target=""_blank"">View PDF</a>","104-10014-10051","CIA",1,"Secret",1996-02-08,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: RELEASE OF CLASSIFIED DOCUMENT","OSW17 : V59 : 1998.09.08.10:55:26:560120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10064.pdf"" target=""_blank"">View PDF</a>","104-10014-10064","CIA",2,"Secret",1991-11-20,"PAPER - TEXTUAL DOCUMENT","WITHHELD","WITHHELD","4/26/2018","CABLE: KGB OFFICIAL NIKONOV","OSW17 : V59 : 1998.09.08.14:04:36:280120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10065.pdf"" target=""_blank"">View PDF</a>","104-10014-10065","CIA",2,"Secret",1993-12-03,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: CUBA TIDBITS FROM LATE NOVEMBER","OSW17 : V59 : 1998.09.14.10:16:42:123120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10066.pdf"" target=""_blank"">View PDF</a>","104-10014-10066","CIA",3,"Secret",1996-02-02,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: WRITE-IN BY INDIVIDUAL CLAIMING FORMER ASSOCIATION","OSW17 : V59 : 1998.09.14.10:21:59:500120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10067.pdf"" target=""_blank"">View PDF</a>","104-10014-10067","CIA",3,"Secret",1994-02-04,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: ASSESSMENT","OSW17 : V59 : 1998.09.14.10:31:29:090120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10016-10021.pdf"" target=""_blank"">View PDF</a>","104-10016-10021","CIA",2,"Not Marked",1963-12-02,"PAPER - TEXTUAL DOCUMENT","DIRECTOR CIA","MELBOURNE","4/26/2018","CABLE RE TRACE OF US LICENSE PLATED SEEN AT EMBASSY.","OSW1 : V8 : 20031202-1018774 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10057-10117.pdf"" target=""_blank"">View PDF</a>","104-10057-10117","CIA",1,"Not Marked",1972-03-09,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE REGARDING CANADIAN PRESS  IDENS","JFK1 : F26 : 20031204-1020116 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10063-10160.pdf"" target=""_blank"">View PDF</a>","104-10063-10160","CIA",3,"Secret",1973-02-06,"PAPER - TEXTUAL DOCUMENT","WITHHELD","HEADQUARTERS","4/26/2018","CABLE RE ARREST OF INDIVIDUAL THAT WAS MISTAKEN FOR HIJACKER","JFK10 : F2 : 1993.07.13.09:35:02:310520 : 2 COPIES OF 3-PAGE CABLE"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10063-10162.pdf"" target=""_blank"">View PDF</a>","104-10063-10162","CIA",4,"Secret",1973-03-14,"PAPER - TEXTUAL DOCUMENT","WITHHELD","CIA/CI/SO","4/26/2018","CABLE RE INDIVIDUALS THAT MAY BE HIJACKERS ONCE LIVING IN ALGERIA NOW MAY BE IN FRANCE AND SWITZERLAND.","JFK10 : F2 : 1993.07.13.09:56:35:210520 :  DUPLICATE COPIES"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10063-10169.pdf"" target=""_blank"">View PDF</a>","104-10063-10169","CIA",2,"Not Marked",1973-07-06,"PAPER - TEXTUAL DOCUMENT","HQS","MHCURB MHCHAOS","4/26/2018","CABLE RE SOURCE CITING OF INDIVIDUALS IN PARIS THERE FOR LODGING AND TRAINING","JFK10 : F2 : 20031216-1025831 :"
